file,kind,title,qr_target,printed_code
01-meet-rosie-app-store.png,APP STORE,"Meet Rosie",https://apps.apple.com/us/app/tickle-the-pig/id6740339848,
02-join-the-herd-app-store.png,APP STORE,"Join the Herd",https://apps.apple.com/us/app/tickle-the-pig/id6740339848,
03-ticket-takers-cap-reward.png,GOLDEN TICKET,"Ticket Taker's Cap",https://ticklethepig.com/redeem/PIG-G9HJ-2EMF,PIG-G9HJ-2EMF
04-release-party-crown-reward.png,GOLDEN TICKET,"Release Party Crown",https://ticklethepig.com/redeem/PIG-GXF8-ST7N,PIG-GXF8-ST7N
